LOC,YEAR,ENT,Entry,Row,Range,Block,Serpentine,treatment,Alfalfa winter survival,Spring Alfalfa stand count,Spring Alfalfa vigor,Spring Alfalfa maturity,Spring disease incidence,Spring disease severity,Spring Alfalfa height,Spring IWG height,Summer Alfalfa height,Summer Wheatgrass height,Summer Alfalfa maturity,Summer Alfalfa stand count,Lodging,Summer disease incidence,Summer disease severity,Summer Alfalfa Biomass wet (g),Summer Weed Biomass wet (g),Summer IWG Biomass wet (g),Summer Grain Biomass wet (g),Summer Alfalfa Biomass dry (g),Summer Weed Biomass dry (g),Summer IWG Biomass dry (g),Summer Grain Biomass dry (g) ,Summer Grain Threshed (g),Alfalfa summer post harvest stand count,Vigor post summer harvest,Fall Alfalfa Maturity,Fall Alfalfa Height,Fall IWG Height,Fall Alfalfa Biomass wet (g),Fall Alfalfa Biomass dry (g),Fall Weed Biomass wet (g),Fall Weed Biomass dry (g),Fall IWG Biomass wet (g),Fall IWG Biomass dry (g)
NY_MG2,2025,24,UMN #5553,28,3,3,110,intercrop,1,100,5,3,10,1,68.8,79,53.6666667,98.3333333,6,9,7,5,1,269,6,,,95,3.3,,,,100,3,5,44.6666667,23,276,75.55,4,1.05,,
NY_MG2,2025,16,AVC11,28,2,2,111,intercrop,1,95,3,2,0,0,62,78,47.3333333,101.666667,6,100,8,10,2,183,12,,,55.9,5.4,,,,100,3,4,42,19.6666667,312,78.25,2,0.75,,
NY_MG2,2025,20,Larry15,28,1,1,112,intercrop,1.4,95,2,2,0,0,66,76.6,44.6666667,133.333333,6,9,7,0,0,619,58,,,205.1,24.3,,,,100,3,5,43.6666667,20.6666667,671,150.65,16,6.15,,
NY_MG2,2025,11,AVC2,29,1,1,113,intercrop,1.2,100,5,2,15,1,71,78.4,48.3333333,110,6,100,7,0,0,414,1,,,136.7,0,,,,100,5,4,64,27,609,150.55,1,0.55,,
NY_MG2,2025,20,Larry15,29,2,2,114,intercrop,1.2,95,3,3,0,0,63.8,75,37.6666667,86.6666667,6,100,8,0,0,357,8,,,131.2,5.7,,,,9,2,4,28,20.6666667,458,110.05,1,0.15,,
NY_MG2,2025,6,IWAF-H-MN1,29,3,3,115,monoculture,1,95,4,3,15,1,62,64.4,53.6666667,60,8,100,1,10,1,179,49,,,54.9,11,,,,100,3,5,53,44,358,89.35,4,0.85,,
NY_MG2,2025,12,AVC7,29,4,4,116,intercrop,1.6,95,3,3,5,1,66,75.8,41,116.666667,6,100,2,0,0,23,39,,,8.3,15,,,,100,2,4,35,19.3333333,110,32.45,5,1.75,,
NY_MG2,2025,11,AVC2,30,4,4,117,intercrop,1,100,3,2,0,0,65.2,77,48.3333333,96.6666667,7,9,3,5,1,82,19,,,34.1,5.2,,,,100,2,3,40.6666667,13.3333333,258,71.95,21,6.45,,
NY_MG2,2025,29,NY1713,30,3,3,118,intercrop,1,100,2,2,5,1,76,81.4,51.6666667,121.666667,6,100,7,0,0,321,6,,,102.6,2.8,,,,9,4,3,47.6666667,23.6666667,372,96.85,7,1.65,,
NY_MG2,2025,21,IAFAL-C3,30,2,2,119,intercrop,1.6,90,1,2,0,0,59.6,75.4,45.3333333,81.6666667,6,100,8,0,0,315,16,,,108.9,6.8,,,,9,1,2,22,15.3333333,181,47.75,0,0,42,13.95
NY_MG2,2025,12,AVC7,30,1,1,120,intercrop,1.4,95,4,2,5,1,69.2,74.6,59.6666667,106.666667,7,100,2,10,2,451,0,,,140.5,0,,,,100,5,4,64,24,408,100.95,0,0,,
NY_MG2,2025,5,IWAF-L-MN1,31,1,1,121,intercrop,1,100,5,3,10,1,65.8,75.2,55.3333333,95,8,100,4,0,0,539,26,,,166.9,17.6,,,,100,5,4,61.3333333,27.6666667,594,143.25,1,0.45,,
NY_MG2,2025,7,IWAF-L-WI1,31,2,2,122,intercrop,1,95,3,2,0,0,66,73.6,49.6666667,91.6666667,6,100,1,0,0,233,28,291,6,71.1,24.8,156.7,35.8,17.75,100,3,3,44.6666667,22.6666667,360,90.35,7,1.35,,
NY_MG2,2025,14,AVC9,31,3,3,123,intercrop,1,100,5,2,5,1,60.8,80,59,51.6666667,6,9,2,0,0,356,17,192,8,106.1,6,94.5,4.9,2.28,100,3,4,52.3333333,28,401,100.95,3,0.85,,
NY_MG2,2025,23,UMN #4353,31,4,4,124,intercrop,1.6,90,4,3,5,1,65.8,76.8,51.3333333,113.333333,6,100,1,0,0,132,41,,,46.8,15.4,,,,9,2,4,43.6666667,21,184,49.55,3,0.55,,
NY_MG2,2025,25,UMN #5555,32,4,4,125,intercrop,1.6,95,3,3,0,0,69,76.2,41,121.666667,6,100,1,0,0,123,41,,,43.9,23.1,,,,9,2,4,40,17.3333333,135,37.25,2,0.35,,
NY_MG2,2025,1,IWAF-L-Base,32,3,3,126,intercrop,1,100,4,3,0,0,74,82.6,53,96.6666667,6,100,3,0,0,287,24,,,89.5,12.4,,,,100,3,6,52.6666667,20.6666667,446,111.35,1,0.25,,
NY_MG2,2025,12,AVC7,32,2,2,127,intercrop,1.2,100,4,3,5,1,72.4,76.6,44,110,6,100,3,10,1,303,40,,,96,20.7,,,,100,4,4,56,20.3333333,340,82.85,2,0.45,,
NY_MG2,2025,10,AVC6,32,1,1,128,intercrop,1,85,4,3,5,1,73.8,74.8,48,103.333333,8,100,3,0,0,427,34,,,141.3,16.5,,,,100,3,5,60,20,393,101.05,3,0,,
